sample,batch
GSE80417_9878827118_R04C02,GSE80417
GSE80417_9878827118_R06C01,GSE80417
GSE80417_9878827135_R01C01,GSE80417
GSE80417_9878827135_R02C01,GSE80417
GSE80417_9878827135_R02C02,GSE80417
GSE80417_9878827135_R03C01,GSE80417
GSE80417_9878827135_R03C02,GSE80417
GSE80417_9878827135_R04C01,GSE80417
GSE80417_9878827135_R05C02,GSE80417
GSE80417_9878827135_R06C01,GSE80417
GSE80417_9878827135_R06C02,GSE80417
GSE80417_9878827143_R01C02,GSE80417
GSE80417_9878827143_R02C02,GSE80417
GSE80417_9878827143_R03C01,GSE80417
GSE80417_9878827143_R03C02,GSE80417
GSE80417_9878827143_R04C02,GSE80417
GSE80417_9878827143_R05C01,GSE80417
GSE80417_9878827143_R05C02,GSE80417
GSE80417_9878827143_R06C01,GSE80417
GSE80417_9878827143_R06C02,GSE80417
GSE80417_9878827151_R01C01,GSE80417
GSE80417_9878827151_R02C02,GSE80417
GSE80417_9878827151_R03C01,GSE80417
GSE80417_9878827151_R03C02,GSE80417
GSE80417_9878827151_R04C01,GSE80417
GSE80417_9878827151_R05C02,GSE80417
GSE80417_9878827151_R06C01,GSE80417
GSE80417_9934089078_R02C01,GSE80417
GSE80417_9934089078_R03C01,GSE80417
GSE80417_9934089078_R04C01,GSE80417
GSE80417_9934089078_R04C02,GSE80417
GSE80417_9934089078_R05C01,GSE80417
GSE80417_9934089078_R05C02,GSE80417
GSE80417_9934089078_R06C01,GSE80417
GSE80417_9934089078_R06C02,GSE80417
GSE80417_9969489001_R01C02,GSE80417
GSE80417_9969489001_R02C01,GSE80417
GSE80417_9969489001_R02C02,GSE80417
GSE80417_9969489001_R03C01,GSE80417
GSE80417_9969489001_R05C01,GSE80417
GSE80417_9969489022_R01C02,GSE80417
GSE80417_9969489022_R02C02,GSE80417
GSE80417_9969489022_R03C02,GSE80417
GSE80417_9969489022_R04C02,GSE80417
GSE80417_9969489022_R05C01,GSE80417
GSE80417_9969489022_R06C01,GSE80417
GSE80417_9969489022_R06C02,GSE80417
GSE80417_9969489023_R06C01,GSE80417
GSE80417_9969489026_R03C02,GSE80417
GSE80417_9969489026_R04C01,GSE80417
GSE80417_9969489026_R05C01,GSE80417
GSE80417_9969489026_R05C02,GSE80417
GSE80417_9969489026_R06C01,GSE80417
GSE80417_9969489026_R06C02,GSE80417
GSE80417_9971851022_R01C01,GSE80417
GSE80417_9971851022_R02C01,GSE80417
GSE80417_9971851022_R03C01,GSE80417
GSE80417_9971851022_R03C02,GSE80417
GSE80417_9971851022_R04C02,GSE80417
GSE80417_9971851022_R05C01,GSE80417
GSE80417_9971851035_R01C01,GSE80417
GSE80417_9971851035_R01C02,GSE80417
GSE80417_9971851035_R02C01,GSE80417
GSE80417_9971851035_R02C02,GSE80417
GSE80417_9971851035_R03C02,GSE80417
GSE80417_9971851035_R04C01,GSE80417
GSE80417_9971851048_R01C01,GSE80417
GSE80417_9971851048_R02C01,GSE80417
GSE80417_9971851048_R02C02,GSE80417
GSE80417_9971851048_R03C01,GSE80417
GSE80417_9971851048_R04C01,GSE80417
GSE80417_9971851048_R04C02,GSE80417
GSE80417_9971851048_R05C02,GSE80417
GSE80417_9971851048_R06C01,GSE80417
GSE80417_9971851048_R06C02,GSE80417
GSE80417_9971851054_R01C02,GSE80417
GSE80417_9971851054_R02C01,GSE80417
GSE80417_9971851054_R02C02,GSE80417
GSE80417_9971851054_R03C01,GSE80417
GSE80417_9971851054_R03C02,GSE80417
GSE80417_9971851054_R04C01,GSE80417
GSE80417_9971851054_R04C02,GSE80417
GSE80417_9971851054_R05C01,GSE80417
GSE80417_9971851054_R05C02,GSE80417
GSE80417_9971851054_R06C02,GSE80417
GSE80417_9971851057_R01C01,GSE80417
GSE80417_9971851057_R01C02,GSE80417
GSE80417_9971851057_R02C01,GSE80417
GSE80417_9971851057_R02C02,GSE80417
GSE80417_9971851057_R03C01,GSE80417
GSE80417_9971851057_R03C02,GSE80417
GSE80417_9971851057_R04C01,GSE80417
GSE80417_9971851057_R04C02,GSE80417
GSE80417_9971851057_R05C02,GSE80417
GSE80417_9971851057_R06C01,GSE80417
GSE80417_9971851057_R06C02,GSE80417
GSE80417_9971851065_R05C01,GSE80417
GSE80417_9971851065_R05C02,GSE80417
GSE80417_9971851065_R06C01,GSE80417
GSE80417_9971851065_R06C02,GSE80417
GSE80417_9971851066_R03C02,GSE80417
GSE80417_9971851066_R04C02,GSE80417
GSE80417_9971851066_R05C02,GSE80417
GSE80417_9971851066_R06C01,GSE80417
GSE80417_9971851066_R06C02,GSE80417
GSE80417_9971851094_R01C01,GSE80417
GSE80417_9971851094_R01C02,GSE80417
GSE80417_9971851094_R02C02,GSE80417
GSE80417_9971851094_R03C01,GSE80417
GSE80417_9971851094_R04C01,GSE80417
GSE80417_9971851094_R04C02,GSE80417
GSE80417_9971851094_R06C01,GSE80417
GSE80417_9971851152_R04C01,GSE80417
GSE80417_9971851152_R05C01,GSE80417
GSE80417_9971851152_R05C02,GSE80417
GSE80417_9971851152_R06C01,GSE80417
GSE80417_9971851152_R06C02,GSE80417
GSE80417_9974366006_R01C01,GSE80417
GSE80417_9974366006_R01C02,GSE80417
GSE80417_9974366006_R02C01,GSE80417
GSE80417_9974366006_R02C02,GSE80417
GSE80417_9974366006_R03C01,GSE80417
GSE80417_9974366006_R03C02,GSE80417
GSE80417_9974366006_R04C01,GSE80417
GSE80417_9974366006_R04C02,GSE80417
GSE80417_9974366006_R05C01,GSE80417
GSE80417_9974366006_R05C02,GSE80417
GSE80417_9974366006_R06C01,GSE80417
GSE80417_9974366006_R06C02,GSE80417
GSE80417_9974366028_R01C01,GSE80417
GSE80417_9974366028_R01C02,GSE80417
GSE80417_9974366028_R02C01,GSE80417
GSE80417_9974366028_R02C02,GSE80417
GSE80417_9974366028_R03C01,GSE80417
GSE80417_9974366028_R03C02,GSE80417
GSE80417_9974366028_R04C01,GSE80417
GSE80417_9974366028_R04C02,GSE80417
GSE80417_9974366028_R05C01,GSE80417
GSE80417_9974366028_R05C02,GSE80417
GSE80417_9974366028_R06C01,GSE80417
GSE80417_9974366028_R06C02,GSE80417
GSE80417_9976861013_R03C02,GSE80417
GSE80417_9976861013_R04C02,GSE80417
GSE80417_9976861013_R05C02,GSE80417
GSE80417_9976861013_R06C01,GSE80417
GSE80417_9976861013_R06C02,GSE80417
GSE80417_9976861150_R03C01,GSE80417
GSE80417_9976861150_R03C02,GSE80417
GSE80417_9976861150_R04C01,GSE80417
GSE80417_9976861150_R04C02,GSE80417
GSE80417_9976861150_R05C01,GSE80417
GSE80417_9976861150_R05C02,GSE80417
GSE80417_9976861150_R06C01,GSE80417
GSE80417_9980092020_R01C01,GSE80417
GSE80417_9980092020_R01C02,GSE80417
GSE80417_9980092020_R02C01,GSE80417
GSE80417_9980092020_R04C01,GSE80417
GSE80417_9980092020_R04C02,GSE80417
GSE80417_9980092020_R05C01,GSE80417
GSE80417_9980092020_R06C01,GSE80417
GSE80417_9980092020_R06C02,GSE80417
GSE80417_9980092051_R01C01,GSE80417
GSE80417_9980092051_R01C02,GSE80417
GSE80417_9980092051_R02C01,GSE80417
GSE80417_9980092051_R03C01,GSE80417
GSE80417_9980092051_R04C01,GSE80417
GSE80417_9980092051_R04C02,GSE80417
GSE80417_9980092051_R05C02,GSE80417
GSE80417_9980092051_R06C01,GSE80417
GSE80417_9980092051_R06C02,GSE80417
GSE80417_9980092055_R01C01,GSE80417
GSE80417_9980092055_R01C02,GSE80417
GSE80417_9980092055_R02C01,GSE80417
GSE80417_9980092055_R02C02,GSE80417
GSE80417_9980092055_R03C02,GSE80417
GSE80417_9980092055_R04C01,GSE80417
GSE80417_9980092055_R04C02,GSE80417
GSE80417_9980092055_R05C01,GSE80417
GSE80417_9980092055_R05C02,GSE80417
GSE80417_9980092055_R06C01,GSE80417
GSE80417_9980092055_R06C02,GSE80417
GSE80417_9980092060_R01C01,GSE80417
GSE80417_9980092060_R02C01,GSE80417
GSE80417_9980092060_R02C02,GSE80417
GSE80417_9980092060_R03C02,GSE80417
GSE80417_9980092060_R04C01,GSE80417
GSE80417_9980092060_R04C02,GSE80417
GSE80417_9980092060_R05C01,GSE80417
GSE80417_9980092060_R05C02,GSE80417
GSE80417_9980092060_R06C01,GSE80417
GSE80417_9980092060_R06C02,GSE80417
GSE80417_9980092070_R01C02,GSE80417
GSE80417_9980092070_R02C01,GSE80417
GSE80417_9980092070_R03C01,GSE80417
GSE80417_9980092070_R04C01,GSE80417
GSE80417_9980092070_R04C02,GSE80417
GSE80417_9980092070_R05C01,GSE80417
GSE80417_9980092070_R05C02,GSE80417
GSE80417_9980092070_R06C01,GSE80417
GSE80417_9980092070_R06C02,GSE80417
GSE80417_9980092080_R01C02,GSE80417
GSE80417_9980092080_R02C01,GSE80417
GSE80417_9980092080_R02C02,GSE80417
GSE80417_9980092080_R03C01,GSE80417
GSE80417_9980092080_R03C02,GSE80417
GSE80417_9980092080_R04C01,GSE80417
GSE80417_9980092080_R04C02,GSE80417
GSE80417_9980092080_R05C01,GSE80417
GSE80417_9980092080_R05C02,GSE80417
GSE80417_9980092080_R06C02,GSE80417
GSE80417_9980092082_R01C02,GSE80417
GSE80417_9980092082_R03C01,GSE80417
GSE80417_9980092082_R04C01,GSE80417
GSE80417_9980092082_R04C02,GSE80417
GSE80417_9980092082_R05C01,GSE80417
GSE80417_9980092082_R05C02,GSE80417
GSE80417_9980092082_R06C01,GSE80417
GSE80417_9980092098_R01C01,GSE80417
GSE80417_9980092098_R02C01,GSE80417
GSE80417_9980092098_R02C02,GSE80417
GSE80417_9980092098_R03C01,GSE80417
GSE80417_9980092098_R03C02,GSE80417
GSE80417_9980092098_R04C02,GSE80417
