"","kME1","kME3","kME5","kME6","kME2","kME4","kME0"
"ACTL6B",-0.25459676246095,-0.452981432865084,-0.453371509231242,0.171545015223094,0.27235585077433,0.568131258036572,-0.276329964100996
"ACTL7B",-0.296026130245003,0.265232550752728,-0.0296653385431497,-0.142816242738679,-0.238516483295556,-0.235005634124145,-0.267276640540934
"ACTL8",0.114074855081184,0.307052075206025,0.292137531154852,0.0246873620750815,-0.257688197824821,-0.216619718034849,0.0972891165773788
"ACTL9",-0.277446549252389,-0.0252190898760051,-0.202258910441684,-0.0623247574412735,0.0382445235172024,-0.00740917579238812,-0.253291286144656
"ACTN1",0.0142182411144536,-0.541572063340345,-0.390809032912489,0.0102079327759363,0.705234835993896,0.427307207291398,-0.0251182025724248
"ACTN2",-0.0702551220915977,-0.340553456898003,-0.233643699545757,0.144984828502426,0.210952351996611,0.369516646239877,-0.100867302279676
"ACTN3",0.536238562476598,0.22284467955077,0.475200448810406,0.0676617975661593,-0.145890273836385,-0.183342657269835,0.532398612196875
"ACTN4",0.349353200027163,0.485154062664471,0.569394318832589,0.00058703633448121,-0.38901979303329,-0.403228338037709,0.311883037011445
"ACTR10",0.63829202258181,-0.099323781546725,0.328515124999682,0.136139075698326,0.0919467930572807,0.0866467203517127,0.507253311176047
"ACTR1A",0.681063091190875,0.0660704005497463,0.45451524366491,0.0875424962723496,-0.00557355283574483,-0.0399222146775002,0.692784539531745
"ACTR1B",-0.144055066673755,0.125319572299117,-0.0454445815338048,-0.0787958576158296,-0.174100901357474,-0.0977291541856595,-0.0748116825458181
"ACTR2",0.543852622106486,0.26273478348465,0.506375411450789,0.0347101395920143,-0.181751456579269,-0.225745650642807,0.498608329096014
"ACTR3",0.157606456658676,0.0769206859728581,0.126936864444957,-0.0124996008000591,-0.148412038683589,-0.0402534878178037,0.0224282188608124
"ACTR3B",0.246369471434364,-0.229552847283831,0.0129416990275103,0.13455472048116,0.257522827488903,0.235980845104939,0.326121954798454
"ACTR5",0.839479318347151,-0.0681855174746567,0.480920388606584,0.192976522646769,0.0612173115114536,0.104941138066107,0.652962258410035
"ACTR6",0.648123855887461,-0.0401608316964703,0.368932928035464,0.106079721786492,0.0359491487257286,0.0296626140433766,0.565235239243121
"ACTRT2",0.0542075768721632,0.864038255529236,0.654773938086938,-0.122958190483391,-0.710285664687992,-0.735392709651139,0.117487524286364
"ACVR1",-0.272153952596665,-0.749016622371633,-0.714623996482863,-0.0361682684614342,0.611076516972102,0.665232081555007,-0.273217742953188
"ACVR1B",0.225558297248319,0.298552482443634,0.328893826026685,-0.0283528093760582,-0.165785454113321,-0.274524147907447,0.429757989789583
"ACVR1C",0.379524672135349,0.197798565135829,0.354742933351231,0.0130339268356593,-0.149213884480662,-0.146231195972674,0.418935197350376
"ACVR2A",0.641518799634518,-0.120955748598979,0.328195473308192,0.134098746386831,0.0965000304116718,0.111029288497463,0.562286515480417
"ACVR2B",0.31970274609091,0.0278905522257665,0.199717771959099,0.0743968851225426,-0.100613306512141,0.0517637587341069,0.285332911326367
"ACVRL1",-0.00161353428197782,-0.0369884109831735,-0.0140737989444239,0.0845055491717057,0.0838912696605001,0.0244249734219302,0.0270612051627198
"ACY1",0.635124362376157,0.030395999560176,0.409247240478616,0.0483438640269538,0.101811667754213,-0.0594765411692397,0.529544343263661
"ACYP1",0.684116551439503,0.0649514213926154,0.480087239438899,0.117928032119875,-0.0665759969440752,-0.0307490883647599,0.587657312085874
"ACYP2",-0.253340981164359,-0.0847515434018762,-0.216615354953848,0.0507046082209455,0.0477849134084159,0.0516833686369741,-0.199319824923696
"ADA",0.281642699155602,0.137603618505205,0.262666933677043,0.0414399367554186,-0.12496563492994,-0.116116363188499,0.268113391161969
"ADAD1",-0.0619172177910276,-0.0438752440804892,-0.0730909953287059,0.0418559314694532,0.0160067334545503,0.0177741986608368,-0.0612185361619112
"ADAD2",-0.268138211765151,-0.128875904012747,-0.295500204114833,-0.12628289298915,0.274417293259999,0.0533015891130751,-0.204229875260556
"ADAL",0.612654160427076,0.0565696738910974,0.418384788200715,0.103635003870761,-0.0445451615221262,-0.0287250658340875,0.541801012897771
"ADAM10",0.461365298029239,0.00925571963937682,0.293357993812232,0.0857243579251882,-0.0282745812010202,0.0143348493574311,0.33049566309301
"ADAM11",0.260387316300426,-0.355782861813013,-0.0679612321224086,0.105977187712666,0.374010213973715,0.344631200858964,0.224443013814602
"ADAM12",-0.140206364814586,-0.58799481355727,-0.46018928835592,0.226229135103842,0.370122457707088,0.690314261852944,-0.150033292926472
"ADAM15",0.257779942340056,-0.152406163535239,0.0374449218080629,-0.0558315928407413,0.251281563836206,0.0913189345475964,0.356985314553474
"ADAM17",0.543383927018759,0.141297935100778,0.433108921815944,0.0976214011950265,-0.137197065595492,-0.0681353450405716,0.503551019081252
"ADAM19",0.241817295564336,0.162398553710372,0.273534749491656,-0.000921438151929823,-0.108531582100284,-0.128162506062544,0.5280930977811
"ADAM2",0.017840766509699,0.443941337779797,0.297176053921043,-0.134948365139416,-0.335606861826422,-0.402860788034041,-0.0607731746239477
"ADAM22",0.586372878319592,0.126542627682163,0.46630548553386,0.165062200166388,-0.108174498023091,-0.0551570489060079,0.598106524315044
"ADAM23",0.3259604947084,0.060597148243335,0.240710175796461,0.0354698596425569,-0.0552621983914025,-0.0170696122285195,0.416823550115382
"ADAM28",-0.120285752810409,-0.500694562416433,-0.487633897145953,-0.220496276716083,0.720405700852055,0.280910720400494,-0.147108388330376
"ADAM29",0.0947122043400344,0.343265704280588,0.281612597171715,-0.0452317261388942,-0.275377042499343,-0.298669564255469,0.180624508142571
"ADAM32",-0.228966488567688,-0.468139059103016,-0.440519862401245,0.06030119737422,0.31714041250045,0.461301108163994,-0.212917556353299
