sample_id,ME0,ME1,ME2,ME3,ME4,ME5,ME6
GSE84727_3998568011_R01C01,0.0574797703126863,0.044345384521982,-0.0035620669264092,0.0224212497890848,-0.016532099594854,0.0477850226380234,0.0133071068611359
GSE147221_200379120083_R06C01,0.0176529841761497,0.0322849179525579,0.0505499320469098,-0.0354026074296526,0.0228912163760558,-0.0214306606072932,-0.027997159711671
GSE147221_200049730138_R02C02,-0.0335279907638908,-0.0089500274789089,0.0159244768971853,-0.0166764037351762,0.0082447859369003,-0.0287106174948294,-0.0098987941164685
GSE84727_3999215204_R03C02,-0.0149647453492188,-0.0196550025076398,0.0448277184474586,-0.0054435076024799,-0.0165127547783257,-0.0252930384115801,-0.0499956101033991
GSE80417_9806233007_R03C01,0.0472151054381161,0.0578385751765874,0.0068275090888005,-0.017412945060954,0.0235343786957452,0.0196207863708955,0.0267699999676727
GSE80417_9992571030_R01C02,-0.0016424138965424,-0.0160603882478282,-0.0190364218472227,0.0224340252948832,-0.0254911326302382,0.0075441662335784,-0.0248778977256494
GSE84727_3998928013_R06C01,-0.0329057290488829,-0.0201191811306716,-0.010626265664523,0.0057094604330336,0.0042870441117186,-0.0006929792284172,0.0121744550813683
GSE147221_200379120112_R02C01,-0.0453773906635947,0.0010321360976493,-0.0406418801930389,0.0355863636169235,-0.0320665678331175,0.0170990343046799,-0.0319435545754598
GSE152027_10003885082_R02C01,0.0023169296860118,-0.0040553770626483,-0.0271040353044313,0.0360630635241484,-0.0194067635438545,0.0223370073021832,-0.0120923447074709
GSE84727_101103430116_R06C01,-0.0270838492818988,-0.0259185332482274,0.0207561383124607,-0.0331851972722804,0.0593065984609417,-0.0345145298088342,0.0311620632131444
GSE147221_200049730105_R03C01,-0.0139470300268549,-0.0109593277352282,0.0015751792688248,-0.000510968059869,-0.0059056407941431,-0.0102663108023962,-0.0175782413484427
GSE147221_200379120133_R03C02,-0.0176440846775749,-0.0163729880169949,0.0351970422099803,-0.0397974461145934,0.0207486438744138,-0.0329089557559577,0.0111865651005458
